Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
08/05/2026 08:00:11;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032108_EV;Depozit Principal;;Ajustare negativa;-9.45;Razvan Nistor;PRODUCTION-IN;0032108_EV;0032108_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032108_EV
08/05/2026 08:00:11;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032108_EV;Depozit Principal;;Ajustare negativa;-7.34000000000003;Razvan Nistor;PRODUCTION-IN;0032108_EV;0032108_EV;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032108_EV
08/05/2026 08:00:12;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032108_EV;Depozit Principal;;Ajustare negativa;-75.6;Razvan Nistor;PRODUCTION-IN;0032108_EV;0032108_EV;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032108_EV
08/05/2026 08:01:27;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032108_EV;Depozit Principal;;Ajustare negativa;-1.84;Razvan Nistor;PRODUCTION-IN;0032108_EV;0032108_EV;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032108_EV
08/05/2026 08:14:53;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032110_AE;Depozit Principal;;Ajustare negativa;-0.9;Razvan Nistor;PRODUCTION-IN;0032110_AE;0032110_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032110_AE
08/05/2026 08:14:54;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032110_AE;Depozit Principal;;Ajustare negativa;-10.5;Razvan Nistor;PRODUCTION-IN;0032110_AE;0032110_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032110_AE
08/05/2026 08:14:54;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032110_AE;Depozit Principal;;Ajustare negativa;-10.2;Razvan Nistor;PRODUCTION-IN;0032110_AE;0032110_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032110_AE
08/05/2026 08:14:55;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032110_AE;Depozit Principal;;Ajustare negativa;-84;Razvan Nistor;PRODUCTION-IN;0032110_AE;0032110_AE;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032110_AE
08/05/2026 08:26:10;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032112_DC;Depozit Principal;;Ajustare negativa;-0.27;Razvan Nistor;PRODUCTION-IN;0032112_DC;0032112_DC;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032112_DC
08/05/2026 08:26:11;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032112_DC;Depozit Principal;;Ajustare negativa;-28.5;Razvan Nistor;PRODUCTION-IN;0032112_DC;0032112_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032112_DC
